ImageID,JarID,MaxFeretDiamPix,MaxFeretDiamum,MorphNotes,PerimeterPix,Perimeterum,SurfaceAreaPix2,SurfaceAreaum2
13,J073_B1,550.991833,62.04862984,,1706.386,192.1605856,202954,2573.781552
15,J073_B1,568.5674982,64.02787142,,1736.922,195.5993243,208479,2643.847395
16,J073_B1,535.6164673,60.31716974,,1623.802,182.8605856,178813,2267.635034
17,J073_B1,485.8322756,54.71084185,,1527.318,171.9952703,163964,2079.325948
1,J074_B1,652.0375756,73.42765491,,2057.66,231.7184685,294370,3733.082745
2,J074_B1,667.9041847,75.21443521,,2099.212,236.3977477,308790,3915.951424
3,J074_B1,669.1382518,75.35340673,,2108.386,237.4308559,310909,3942.823736
4,J074_B1,641.5995636,72.25220311,,1985.966,223.6448198,276934,3511.966358
5,J074_B1,644.6060813,72.59077492,,2022.322,227.738964,286686,3635.637327
6,J074_B1,641.9010827,72.28615796,,2016.398,227.0718468,281826,3574.004748
7,J074_B1,647.4720071,72.91351431,,2038.908,229.6067568,292390,3707.973176
8,J074_B1,647.618715,72.93003547,,2046.144,230.4216216,289346,3669.370384
9,J074_B1,652.9846859,73.53431148,,2031.328,228.7531532,289626,3672.921232
10,J074_B1,669.2159592,75.36215757,,2144.22,241.4662162,314978,3994.425168
1,J076_B1,589.6744865,66.40478452,,1881.52,211.8828829,246655,3127.980176
2,J076_B1,567.7226436,63.93273014,,1764.31,198.6835586,216297,2742.992148
4,J076_B1,586.0179178,65.99300876,,1786.552,201.1882883,224556,2847.729486
5,J076_B1,525.6472201,59.19450677,,1652.706,186.1155405,190942,2421.450166
6,J076_B1,570.7276058,64.27112678,,1817.864,204.7144144,227609,2886.446413
7,J076_B1,578.8281265,65.18334758,,1796.12,202.2657658,226292,2869.744745
8,J076_B1,582.8181535,65.63267494,,1832.908,206.4085586,233521,2961.420035
9,J076_B1,584.7366929,65.84872668,,1808.974,203.7132883,227033,2879.141811
11,J076_B1,590.9221607,66.54528837,,1840.374,207.2493243,235744,2989.611233
12,J076_B1,599.8841555,67.55452202,,1892.258,213.0921171,252681,3204.399501
1,J077_B1,668.7376167,75.30829017,,2114.792,238.1522523,313739,3978.712665
2,J077_B1,619.176873,69.72712534,,1951.406,219.7529279,261780,3319.789384
3,J077_B1,660.1704325,74.34351717,,2045.85,230.3885135,292897,3714.402747
4,J077_B1,692.9076418,78.03013984,,2170.87,244.4673423,321162,4072.848186
5,J077_B1,694.2636387,78.1828422,,2168.028,244.1472973,321678,4079.391892
6,J077_B1,697.9233482,78.59497164,,2189.214,246.5331081,331922,4209.302208
