date,Tank,ParentTrt,mV_1,mV_2,mV_3,mV_mean,salinity_1,salinity_2,salinity_3,sal_mean,pH_batch,pH_meas,NBScorr,pHNBS,Swcorr,pHSW,salinity_batch,salinity,temperature,Exposure_vals,Block,bottle_sample,bottle_ID_AUTO,rundate_DDMMMYYYY,Ries_ID_AUTO,Actual_Ries_ID,Recalculated,Flag,UseForCalcite,mV,VindtaTemp,DIC_raw,DIC_corr,DIC_fromAlk,Alk_raw,Alk_corr,AT_Calc_NBS,pCO2_NBS,HCO3_NBS,CO3_NBS,CO2_NBS,SatCalcite_NBS,SatArag_NBS,AT_Calc_SW,pCO2_SW,HCO3_SW,CO3_SW,CO2_SW,SatCalcite_SW,SatArag_SW,pCO2_ATDIC,HCO3_ATDIC,CO3_ATDIC,CO2_ATDIC,SatCalcite_ATDIC,SatArag_ATDIC
20180617,22,400,-67,-66,-66,-66.33333333,19.9,19.9,19.9,19.9,9,7.540229885,0.1369328,7.677162685,-0.138150177,7.539012508,9,19.84533333,20,EXPOSURE,B1,TRUE,L18_A_20180617_22,3-Jul-18,L18_A_20180617_22_03Jul2018,L18_A_20180617_22_03Jun2018,L18_Recalc_03Jul18,F,F,155.2,25.062,1397.08,1395.511077,1371.985214,1411.98,1418.622592,1402.885986,1044.441811,1329.53031,29.3661065,36.61467492,0.778784561,0.477112551,1404.9,1018.097578,1329.68688,30.13307803,35.69113327,0.799124527,0.489573575,859.78,1329.69,35.68,30.14,0.95,0.58
20180620,22,400,-64,-64,-64,-64,19.3,19.3,19.3,19.3,11,7.558139535,0.1334828,7.691622335,-0.138150177,7.553472157,11,19.34533333,19.3,PRE-EXPOSURE,B1,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,25,Acclimation,-8,-7,-7,-7.333333333,21,21,20.9,20.96666667,1,6.525714286,0.1436028,6.669317086,-0.138150177,6.531166908,1,20.812,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,26,Acclimation,-3,-2,-1,-2,21.1,21,21,21.03333333,1,6.434285714,0.1442928,6.578578514,-0.138150177,6.440428337,1,20.912,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,27,Acclimation,0,3,4,2.333333333,21.1,21,20.9,21,1,6.36,0.1436028,6.5036028,-0.138150177,6.365452623,1,20.812,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,28,Acclimation,39,39,39,39,21.2,21.3,21.2,21.23333333,1,5.731428571,0.1456728,5.877101371,-0.138150177,5.738951194,1,21.112,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,29,Acclimation,41,39,41,40.33333333,21.3,21.2,21.2,21.23333333,1,5.708571429,0.1456728,5.854244229,-0.138150177,5.716094051,1,21.112,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,30,Acclimation,52,51,51,51.33333333,21.3,21.3,21.3,21.3,1,5.52,0.1463628,5.6663628,-0.138150177,5.528212623,1,21.212,NA,ACCLIMATION,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180608,headtankTest,Test,210,210,210,210,NA,NA,NA,NA,1,2.8,NA,NA,-0.138150177,NA,NA,NA,NA,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180609,AccShelf2800ramp,Test,-78,-78,-78,-78,NA,NA,NA,NA,2,7.737142857,NA,NA,-0.138150177,NA,NA,NA,NA,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180609,AccShelf400,Test,-78,-78,-78,-78,NA,NA,NA,NA,2,7.737142857,NA,NA,-0.138150177,NA,NA,NA,NA,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180609,DISystemTest,Test,50,50,50,50,NA,NA,NA,NA,3,5.542857143,NA,NA,-0.138150177,NA,NA,NA,NA,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180610,DISytem_1400,Test,19,19,19,19,NA,NA,NA,NA,3,6.074285714,NA,NA,-0.138150177,NA,NA,NA,NA,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20180610,Test_2-2,Test,-86,-86,-86,-86,21.9,21.9,21.9,21.9,3,7.874285714,0.1505028,8.024788514,-0.138150177,7.886638337,3,21.812,19.6,TEST,NA,FALSE,NA,NA,NA,NA,NA,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
