"CrossID","ParentTrt","MaleID","FemaleID","TrtTankID","MaleTrtTankID","AccTankID","Block","SatArag_ATDIC","MeanLarvSurvivedCon","SELarvSurvivedCon","MeanGPDCon","MeanLarvSurvivedExp","SELarvSurvivedExp","MeanGPDExp","RatSurv","RatGPD","SurvChange","OACont_Perc"
"CF06_CM01_B1_QG","400","CM01_B1","CF06_B1","16","4","25","B1",0.895,1557.5,142.860946377938,3.16438319715556,1259.5,122.342075073677,-1.06138659128889,0.808667736757624,-0.33541658047071,0.191332263242376,-0.191332263242376
"CF06_CM02_B1_QG","400","CM02_B1","CF06_B1","16","22","25","B1",0.895,2431,124.012096184203,2.99779890126667,1731.5,98.1992023049746,-1.30765864462222,0.712258329905389,-0.436206259222288,0.287741670094611,-0.287741670094611
"CF06_CM03_B1_QG","400","CM03_B1","CF06_B1","16","4","25","B1",0.895,850,27.2136607852257,3.15739615693334,737.833333333333,38.7258885559059,-0.542642773733332,0.868039215686274,-0.171864012864442,0.131960784313726,-0.131960784313726
"CF07_CM02_B1_QG","400","CM02_B1","CF07_B1","4","22","25","B1",0.895,461.666666666667,47.1322017780248,4.14985272351341,430.666666666667,5.08538210079745,1.16455994906896,0.932851985559567,0.280626814168721,0.0671480144404332,-0.0671480144404332
"CF07_CM03_B1_QG","400","CM03_B1","CF07_B1","4","4","25","B1",0.895,811,65.8350210754124,4.12830725662452,740.166666666667,41.5575237204742,1.02747461795785,0.912659268392931,0.24888520986637,0.0873407316070691,-0.0873407316070691
"CF07_CM04_B1_QG","400","CM04_B1","CF07_B1","4","16","25","B1",0.895,803.5,46.7359604587303,4.53864037773563,675.5,78.5116764139789,1.05911436951341,0.840696950840075,0.233354987698279,0.159303049159925,-0.159303049159925
"CF08_CM03_B1_QG","400","CM03_B1","CF08_B1","16","4","26","B1",0.895,947,17.2940259434677,3.871923324,910.5,65.9286230201521,0.660914674999999,0.961457233368532,0.170694153704785,0.0385427666314678,-0.0385427666314678
"CF08_CM04_B1_QG","400","CM04_B1","CF08_B1","16","16","26","B1",0.895,917.5,101.799230514446,3.764467717,902.833333333333,22.6832047510438,0.601398110999999,0.984014532243415,0.15975647985614,0.0159854677565853,-0.0159854677565853
"CF08_CM05_B1_QG","400","CM05_B1","CF08_B1","16","10","26","B1",0.895,1435.16666666667,47.8071937868955,3.66474782566667,1072.16666666667,270.900401952042,-0.0752542652222243,0.747067704099408,-0.0205346367068338,0.252932295900592,-0.252932295900592
"EF01_EM01_B1_QG","2600","EM01_B1","EF01_B1","13","1","30","B1",0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EF02_EM02_B1_QG","2600","EM02_B1","EF02_B1","7","19","28","B1",0.27,524,14.1774468787578,4.45014766375,428.666666666667,30.1127510828516,1.15681930472222,0.818066157760815,0.259950768408301,0.181933842239185,-0.181933842239185
"EF02_EM03_B1_QG","2600","EM03_B1","EF02_B1","7","7","28","B1",0.27,714.166666666667,24.1183424895751,4.04251661386111,570.833333333333,26.4296760815901,0.73527047186111,0.799299883313885,0.181884341387736,0.200700116686115,-0.200700116686115
"EF02_EM04_B1_QG","2600","EM04_B1","EF02_B1","7","13","28","B1",0.27,498.5,47.5561072138304,4.39495677030555,503.333333333333,5.92546294487706,1.29101841686111,1.00969575392845,0.293749969415821,-0.0096957539284513,0.0096957539284513
"EF03_EM03_B1_QG","2600","EM03_B1","EF03_B1","7","7","28","B1",0.27,541.833333333333,35.6771791361244,4.29200934039506,448.333333333333,34.7195110052611,-0.223426541271605,0.827437711473393,-0.0520563967950358,0.172562288526607,-0.172562288526607
"EF03_EM04_B1_QG","2600","EM04_B1","EF03_B1","7","13","28","B1",0.27,821.166666666667,14.0069427229658,3.99249416083951,694.5,12.5731194750282,1.38242297472839,0.845747919626547,0.346255478163982,0.154252080373453,-0.154252080373453
"EF03_EM05_B1_QG","2600","EM05_B1","EF03_B1","7","7","28","B1",0.27,1320.83333333333,212.913584452577,4.26653476639506,1183.33333333333,86.6435866704,0.699977826839507,0.89589905362776,0.164062375010468,0.10410094637224,-0.10410094637224
"EF04_EM04_B1_QG","2600","EM04_B1","EF04_B1","7","13","29","B1",0.27,1670.83333333333,39.5288221147276,3.33614318123372,1520.83333333333,92.7677805658361,1.11975036512261,0.910224438902743,0.335642178495625,0.089775561097257,-0.089775561097257
"EF04_EM05_B1_QG","2600","EM05_B1","EF04_B1","7","7","29","B1",0.27,570.166666666667,41.7156378884998,4.31195442578927,498.166666666667,19.1579690410486,1.42249328078927,0.873721134171295,0.329895249421356,0.126278865828705,-0.126278865828705
"EF04_EM06_B1_QG","2600","EM06_B1","EF04_B1","7","1","29","B1",0.27,710.666666666667,29.2608004751142,3.21424507545594,612.833333333333,62.0875278225113,0.130159822900385,0.86233583489681,0.0404946791065463,0.13766416510319,-0.13766416510319
"EF05_EM01_B1_QG","2600","EM01_B1","EF05_B1","13","1","28","B1",0.255,484.5,25.3426517949484,4.60510127005364,468.666666666667,71.6945682120418,1.37917944472031,0.967320261437909,0.29948949303003,0.0326797385620908,-0.0326797385620908
